Character,Count
 ,425445173
e,204277126
a,150301280
t,139046939
o,112038508
h,105584975
n,100224093
d,95108557
i,94568788
s,83994245
r,75708029
l,67685251
y,50978588
m,44444285
.,44108480
w,43737969
u,41229779
p,33280615
g,31694973
c,30276870
b,26723787
f,24850463
",",23884516
k,20117440
T,19986217
"
",12882357
"""",11964631
v,11737630
S,8538480
H,6224337
I,5078752
O,4637239
L,4072612
',4032158
!,3860155
B,3403170
x,3386033
M,3264719
A,2502725
W,1795910
j,1640294
?,1401961
Y,1313864
z,1014351
J,916648
F,820713
D,770798
C,608598
q,596527
N,483194
E,467627
K,335950
P,301822
G,254298
R,226635
-,187667
”,163456
“,163276
:,120957
’,115565
Z,66859
V,42062
U,31162
3,24538
;,11736
Q,9890
–,6174
1,3457
X,3444
—,2487
0,2439
2,1945
‘,1793
5,1687
4,780
…,663
/,484
9,442
`,423
8,366
6,323
7,275
é,271
),229
(,226
$,159
_,104
*,101
\,90
 ,68
ñ,57
&,49
´,43
​,34
 ,33
<,32
>,29
+,27
ó,26
=,23
[,22
],22
#,17
€,17
â,17
	,16
%,13
¿,8
™,8
É,8
米,7
í,7
~,7
è,6
à,6
á,6
­,6
£,5
ï,5
»,5
«,5
|,5
 ,5
ā,5
œ,5
„,4
他,4
﻿,4
。,4
，,4
 ,4
玉,4
―,4
§,4
ᴇ,3
巴,3
莉,3
艾,3
恩,3
¡,3
很,3
了,2
@,2
剛,2
應,2
答,2
興,2
她,2
一,2
田,2
過,2
ᴏ,2
ɪ,2
ᴅ,2
ʜ,2
自,2
‪,2
ᴢ,2
‎,2
ê,2
 ,2
ö,1
−,1
,1
·,1
兩,1
　,1
,1
天,1
整,1
і,1
ß,1
‑,1
兒,1
İ,1
在,1
🎓,1
‌,1
個,1
ʏ,1
ᴜ,1
ᴛ,1
ʙ,1
ғ,1
ᴄ,1
ᴡ,1
ᴀ,1
童,1
時,1
到,1
們,1
🍌,1
🌴,1
難,1
,1
這,1
留,1
 ,1
🤩,1
{,1
ú,1
‚,1
¢,1
️,1
❤,1
},1
些,1
保,1
度,1
裡,1
和,1
�,1
°,1
給,1
分,1
的,1
把,1
奮,1
‐,1
當,1
是,1
但,1
高,1
─,1
獨,1
己,1
又,1
會,1
